"Currency","Date","Open","High","Low","Close","Volume","Market_Cap"
"LiteCoin","Nov 25 2017",77.91,89.37,77.52,88.82,487897000,4205220000
"LiteCoin","Nov 24 2017",73.14,77.97,72.81,77.97,287392000,3946910000
"LiteCoin","Nov 23 2017",71.98,76.40,70.90,73.22,315247000,3882950000
"LiteCoin","Nov 22 2017",70.18,71.95,70.18,71.89,157890000,3785260000
"LiteCoin","Nov 21 2017",72.20,72.53,68.11,70.03,231665000,3892860000
"LiteCoin","Nov 20 2017",71.41,72.92,70.79,72.25,188976000,3849390000
"LiteCoin","Nov 19 2017",69.51,72.98,68.60,71.59,243057000,3745710000
"LiteCoin","Nov 18 2017",67.41,69.77,65.71,69.64,174063000,3631120000
"LiteCoin","Nov 17 2017",70.45,71.12,65.78,67.57,350505000,3794080000
"LiteCoin","Nov 16 2017",63.81,72.48,62.94,71.06,418129000,3435690000
"LiteCoin","Nov 15 2017",62.78,65.52,62.71,63.82,194636000,3379200000
"LiteCoin","Nov 14 2017",61.64,63.81,60.87,62.68,174111000,3317410000
"LiteCoin","Nov 13 2017",59.18,62.76,58.85,61.40,237478000,3183830000
"LiteCoin","Nov 12 2017",62.31,62.31,57.41,59.01,322820000,3351310000
"LiteCoin","Nov 11 2017",59.35,63.71,59.24,62.30,272494000,3191150000
"LiteCoin","Nov 10 2017",64.44,65.90,56.91,59.26,291596000,3463640000
"LiteCoin","Nov 09 2017",62.49,66.84,61.73,64.27,279653000,3358100000
"LiteCoin","Nov 08 2017",61.11,64.06,60.79,62.57,349454000,3283270000
"LiteCoin","Nov 07 2017",54.99,63.81,54.99,61.30,402670000,2953400000
"Ethereum","Dec 06 2017",462.60,462.71,420.21,428.59,1998260000,44483100000
"Ethereum","Dec 05 2017",470.29,473.56,457.66,463.28,1216720000,45212800000
"Ethereum","Dec 04 2017",466.05,474.78,453.31,470.20,1005550000,44795700000
"Ethereum","Dec 03 2017",463.70,482.81,451.85,465.85,990557000,44560500000
"Ethereum","Dec 02 2017",466.85,476.24,456.65,463.45,943650000,44853300000
"Ethereum","Dec 01 2017",445.21,472.61,428.31,466.54,1247880000,42765000000
"Ethereum","Nov 30 2017",431.21,465.50,401.24,447.11,1903040000,41411900000
"Ethereum","Nov 29 2017",473.28,522.31,425.07,427.52,2675940000,45442100000
"Ethereum","Nov 28 2017",480.52,482.48,466.35,472.90,1346500000,46127200000
"Ethereum","Nov 27 2017",471.53,493.40,468.49,480.36,1396480000,45255000000
"Ethereum","Nov 26 2017",465.97,472.72,451.61,471.33,1197780000,44712100000
"Ethereum","Nov 25 2017",475.68,485.19,461.05,466.28,1422080000,45633400000
"Ethereum","Nov 24 2017",412.50,480.97,402.76,474.91,2292830000,39564300000
"Ethereum","Nov 23 2017",381.44,425.55,376.09,410.17,1845680000,36577300000
"Ethereum","Nov 22 2017",360.31,381.42,360.15,380.65,800819000,34544000000
"Ethereum","Nov 21 2017",367.44,372.47,350.69,360.40,949912000,35220200000
"Ethereum","Nov 20 2017",354.09,372.14,353.29,366.73,807027000,33933400000
"Ethereum","Nov 19 2017",347.40,371.29,344.74,354.39,1181530000,33284900000
"Ethereum","Nov 18 2017",331.98,349.62,327.69,347.61,649639000,31800700000
"Ethereum","Nov 17 2017",330.17,334.96,327.52,332.39,621733000,31620300000
"Ethereum","Nov 16 2017",333.44,336.16,323.61,330.92,797254000,31927300000
"Ethereum","Nov 15 2017",337.96,340.91,329.81,333.36,722666000,32353200000
"Ethereum","Nov 14 2017",316.76,340.18,316.76,337.63,1069680000,30317300000
"Ethereum","Nov 13 2017",307.02,328.42,307.02,316.72,1041890000,29379000000
"Ethereum","Nov 12 2017",314.69,319.15,298.51,307.91,1613480000,30106200000
"Ethereum","Nov 11 2017",298.59,319.45,298.19,314.68,842301000,28559400000
"Ethereum","Nov 10 2017",320.67,324.72,294.54,299.25,885986000,30665200000
"Ethereum","Nov 09 2017",308.64,329.45,307.06,320.88,893250000,29509000000
"Ethereum","Nov 08 2017",294.27,318.70,293.10,309.07,967956000,28128700000
"Ethereum","Nov 07 2017",298.57,304.84,290.77,294.66,540766000,28533300000
"BitConnect","Dec 06 2017",331.14,371.27,331.14,369.24,31103500,1054920000
"BitConnect","Dec 05 2017",331.34,338.96,324.20,331.74,21190000,1055560000
"BitConnect","Dec 04 2017",292.85,332.09,292.85,330.67,19053100,932938000
"BitConnect","Dec 03 2017",318.83,342.51,296.17,311.99,16500300,1015700000
"BitConnect","Dec 02 2017",322.45,327.56,310.75,319.24,16065500,1027220000
"BitConnect","Dec 01 2017",283.65,322.74,272.85,322.74,23616200,903630000
"BitConnect","Nov 30 2017",273.51,297.65,255.41,285.46,19684400,584800000
"BitConnect","Nov 29 2017",285.09,325.31,253.61,269.33,31234400,609556000
"BitConnect","Nov 28 2017",301.27,301.27,284.99,286.04,25368700,644146000
"BitConnect","Nov 27 2017",299.69,307.44,273.60,300.48,28551400,640764000
"BitConnect","Nov 26 2017",304.60,310.00,273.25,299.79,20582600,651255000
"BitConnect","Nov 25 2017",296.49,307.98,277.08,304.70,19070800,633916000
"BitConnect","Nov 24 2017",289.12,300.32,283.56,297.26,17307700,618155000
"BitConnect","Nov 23 2017",299.29,301.00,289.76,289.76,17550800,639913000
"BitConnect","Nov 22 2017",294.75,301.19,291.73,299.33,19632100,630210000
"BitConnect","Nov 21 2017",296.57,301.53,274.78,294.10,23952700,634092000
"BitConnect","Nov 20 2017",292.50,302.04,256.51,296.51,28203100,625403000
"BitConnect","Nov 19 2017",294.46,295.88,281.27,292.65,16763600,629582000
"BitConnect","Nov 18 2017",295.91,299.17,284.36,294.92,17783600,632692000
"BitConnect","Nov 17 2017",302.48,308.66,291.00,297.02,23569000,646736000
"BitConnect","Nov 16 2017",274.63,308.34,261.24,303.01,31028800,587185000
"BitConnect","Nov 15 2017",255.66,280.37,255.66,273.13,26940000,546634000
"BitConnect","Nov 14 2017",252.45,259.37,248.25,255.38,22764400,539765000
"BitConnect","Nov 13 2017",218.02,259.44,216.57,251.90,19908200,466138000
"BitConnect","Nov 12 2017",241.44,241.44,201.66,218.00,13218700,516226000
"BitConnect","Nov 11 2017",252.63,262.24,237.99,241.58,15969100,540148000
"BitConnect","Nov 10 2017",274.44,286.70,248.33,253.59,20860300,586777000
"BitConnect","Nov 09 2017",285.18,285.42,270.68,273.57,22690900,609733000
"BitConnect","Nov 08 2017",270.43,298.81,268.81,285.47,22643000,578193000
"BitConnect","Nov 07 2017",260.04,273.18,260.04,271.27,22712300,555997000
