"Country.Name","Country.Code","Zrodlo.Energii","Indicator.Code","variable","value"
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2001,0.944886272708929
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2001,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2001,1.66851051690428
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2001,0.318672984462953
"Poland","POL","coal ","EG.ELC.COAL.ZS",2002,94.7410157264261
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2002,1.59930946883838
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2002,1.54246696468045
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2002,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2002,1.66738012196577
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2002,0.342458543568727
"Poland","POL","coal ","EG.ELC.COAL.ZS",2003,95.2262864228146
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2003,1.11393316401016
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2003,1.61656967248632
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2003,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2003,1.63723509922738
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2003,0.385976841389517
"Poland","POL","coal ","EG.ELC.COAL.ZS",2004,93.6722386102917
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2004,1.36479842674533
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2004,2.11406096361849
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2004,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2004,1.91019337921993
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2004,0.737463126843658
"Poland","POL","coal ","EG.ELC.COAL.ZS",2005,92.2025759692068
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2005,1.41671869669604
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2005,3.32455795930715
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2005,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2005,1.77459947605224
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2005,1.05948158780631
"Poland","POL","coal ","EG.ELC.COAL.ZS",2006,92.4504242243288
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2006,1.27018486725884
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2006,2.8488965191212
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2006,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2006,1.80886268069966
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2006,1.39894503744619
"Poland","POL","coal ","EG.ELC.COAL.ZS",2007,91.8267080706219
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2007,1.48147214996126
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2007,2.82374134705627
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2007,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2007,1.75987805569378
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2007,1.93876329829114
"Poland","POL","coal ","EG.ELC.COAL.ZS",2008,90.8874668735053
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2008,1.39098959343287
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2008,3.02436817271023
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2008,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2008,1.76200633443216
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2008,2.88022752246138
"Poland","POL","coal ","EG.ELC.COAL.ZS",2009,89.2483506594054
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2009,1.57158832988135
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2009,3.16766035163875
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2009,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2009,1.8018673777966
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2009,4.1708299971546
"Poland","POL","coal ","EG.ELC.COAL.ZS",2010,88.0921006563158
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2010,1.85881888610915
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2010,3.05431952587387
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2010,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2010,1.84099459542043
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2010,5.07228386456085
"Poland","POL","coal ","EG.ELC.COAL.ZS",2011,86.7905442685663
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2011,1.42902683946591
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2011,3.56858225333807
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2011,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2011,1.50381932098236
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2011,6.62465209235032
"Poland","POL","coal ","EG.ELC.COAL.ZS",2012,84.3578977311376
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2012,1.25965456895326
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2012,3.87110338814305
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2012,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2012,1.26460166593491
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2012,9.17810167521072
"Poland","POL","coal ","EG.ELC.COAL.ZS",2013,85.2068624940557
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2013,1.48699564692541
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2013,3.21298362414798
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2013,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2013,1.08643962395288
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2013,8.91831583568058
"Poland","POL","coal ","EG.ELC.COAL.ZS",2014,82.9932874050521
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2014,1.37721755368814
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2014,3.36134453781513
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2014,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2014,1.00562747621571
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2014,11.1413934943347
"Poland","POL","coal ","EG.ELC.COAL.ZS",2015,80.9397967447496
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2015,1.11552911518812
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2015,3.83980709627528
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2015,0
"Poland","POL","oil ","EG.ELC.PETR.ZS",2015,1.28967831111815
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2015,12.6927971648998
"Poland","POL","coal ","EG.ELC.COAL.ZS",2016,NA
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2016,NA
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2016,NA
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2016,NA
"Poland","POL","oil ","EG.ELC.PETR.ZS",2016,NA
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2016,NA
"Poland","POL","coal ","EG.ELC.COAL.ZS",2017,NA
"Poland","POL","hydroelectric ","EG.ELC.HYRO.ZS",2017,NA
"Poland","POL","natural gas ","EG.ELC.NGAS.ZS",2017,NA
"Poland","POL","nuclear ","EG.ELC.NUCL.ZS",2017,NA
"Poland","POL","oil ","EG.ELC.PETR.ZS",2017,NA
"Poland","POL","renewable excluding hydroelectric ","EG.ELC.RNWX.ZS",2017,NA
