name,sentence_id,order_id,word
NED,60,16,bury
NED,60,17,them
NED,60,18,yourselves
BRAN,61,0,What
BRAN,61,1,about
BRAN,61,2,you
JON,62,0,I’m
JON,62,1,not
JON,62,2,a
JON,62,3,Stark
JON,62,4,Get
JON,62,5,on
ROBB,63,0,What
ROBB,63,1,is
ROBB,63,2,it
JAIME,64,0,As
JAIME,64,1,your
JAIME,64,2,brother
JAIME,64,3,I
JAIME,64,4,feel
JAIME,64,5,it’s
JAIME,64,6,my
JAIME,64,7,duty
JAIME,64,8,to
JAIME,64,9,warn
JAIME,64,10,you
JAIME,64,11,You
JAIME,64,12,worry
JAIME,64,13,too
JAIME,64,14,much
JAIME,64,15,It’s
JAIME,64,16,starting
JAIME,64,17,to
JAIME,64,18,show
CERSEI,65,0,And
CERSEI,65,1,you
CERSEI,65,2,never
CERSEI,65,3,worry
CERSEI,65,4,about
CERSEI,65,5,anything
CERSEI,65,6,When
CERSEI,65,7,we
CERSEI,65,8,were
CERSEI,65,9,seven
CERSEI,65,10,you
CERSEI,65,11,jumped
CERSEI,65,12,off
CERSEI,65,13,the
CERSEI,65,14,cliffs
CERSEI,65,15,as
CERSEI,65,16,Casterly
CERSEI,65,17,Rock
CERSEI,65,18,One
CERSEI,65,19,hundred
CERSEI,65,20,foot
CERSEI,65,21,drop
CERSEI,65,22,into
CERSEI,65,23,the
CERSEI,65,24,water
CERSEI,65,25,And
CERSEI,65,26,you
CERSEI,65,27,were
CERSEI,65,28,never
CERSEI,65,29,afraid
JAIME,66,0,But
JAIME,66,1,who
JAIME,66,2,would
JAIME,66,3,he
JAIME,66,4,tell
CERSEI,67,0,My
CERSEI,67,1,husband
CERSEI,68,0,You
CERSEI,68,1,should
CERSEI,68,2,be
CERSEI,68,3,the
CERSEI,68,4,Hand
CERSEI,68,5,of
CERSEI,68,6,the
CERSEI,68,7,king
JAIME,69,0,That’s
JAIME,69,1,an
JAIME,69,2,honor
JAIME,69,3,I
JAIME,69,4,can
JAIME,69,5,do
JAIME,69,6,without
JAIME,69,7,Their
JAIME,69,8,days
JAIME,69,9,are
JAIME,69,10,too
JAIME,69,11,long
JAIME,69,12,their
JAIME,69,13,lives
JAIME,69,14,are
JAIME,69,15,too
JAIME,69,16,short
NED,70,0,You
NED,70,1,have
NED,70,2,five
NED,70,3,northern
NED,70,4,children
NED,70,5,You’re
NED,70,6,not
NED,70,7,an
NED,70,8,outsider
CATELYN,71,0,I
CATELYN,71,1,wonder
CATELYN,71,2,if
CATELYN,71,3,the
CATELYN,71,4,old
CATELYN,71,5,gods
CATELYN,71,6,agree
NED,72,0,It’s
NED,72,1,your
NED,72,2,gods
NED,72,3,with
NED,72,4,all
NED,72,5,the
NED,72,6,rules
CATELYN,73,0,I
CATELYN,73,1,am
CATELYN,73,2,so
CATELYN,73,3,sorry
CATELYN,73,4,my
CATELYN,73,5,love
CATELYN,74,0,There
CATELYN,74,1,was
CATELYN,74,2,a
CATELYN,74,3,raven
CATELYN,74,4,from
CATELYN,74,5,Kings
CATELYN,74,6,Landing
CATELYN,74,7,Jon
CATELYN,74,8,Arryn
CATELYN,74,9,is
CATELYN,74,10,dead
CATELYN,74,11,A
CATELYN,74,12,fever
CATELYN,74,13,took
CATELYN,74,14,him
CATELYN,74,15,I
CATELYN,74,16,know
CATELYN,74,17,he
CATELYN,74,18,was
CATELYN,74,19,like
CATELYN,74,20,a
CATELYN,74,21,father
CATELYN,74,22,to
CATELYN,74,23,you
NED,75,0,Your
NED,75,1,sister
NED,75,2,The
NED,75,3,boy
CATELYN,76,0,They
CATELYN,76,1,both
CATELYN,76,2,have
CATELYN,76,3,their
CATELYN,76,4,health
CATELYN,76,5,Gods
CATELYN,76,6,be
CATELYN,76,7,good
CATELYN,76,8,[pause]
CATELYN,76,9,The
CATELYN,76,10,raven
CATELYN,76,11,brought
CATELYN,76,12,more
CATELYN,76,13,news
CATELYN,76,14,The
CATELYN,76,15,king
CATELYN,76,16,rides
CATELYN,76,17,for
CATELYN,76,18,Winterfell
CATELYN,76,19,With
CATELYN,76,20,the
CATELYN,76,21,queen
CATELYN,76,22,and
CATELYN,76,23,all
CATELYN,76,24,the
CATELYN,76,25,rest
CATELYN,76,26,of
CATELYN,76,27,them
NED,77,0,He’s
NED,77,1,coming
NED,77,2,this
NED,77,3,far
NED,77,4,North
NED,77,5,there’s
NED,77,6,only
NED,77,7,one
NED,77,8,thing
NED,77,9,he’s
NED,77,10,after
CATELYN,78,0,You
CATELYN,78,1,can
CATELYN,78,2,always
CATELYN,78,3,say
CATELYN,78,4,no
CATELYN,78,5,Ned
MAESTER,79,0,I’m
MAESTER,79,1,told
MAESTER,79,2,he
MAESTER,79,3,drinks
MAESTER,79,4,all
MAESTER,79,5,night
CATELYN,80,0,How
CATELYN,80,1,much
CATELYN,80,2,could
CATELYN,80,3,he
CATELYN,80,4,possibly
CATELYN,80,5,drink
CATELYN,80,6,A
CATELYN,80,7,man
CATELYN,80,8,of
CATELYN,80,9,his
CATELYN,80,10,stature
LUWIN,81,0,We’ve
LUWIN,81,1,brought
LUWIN,81,2,up
LUWIN,81,3,eight
LUWIN,81,4,barrels
LUWIN,81,5,of
LUWIN,81,6,ale
LUWIN,81,7,from
LUWIN,81,8,the
LUWIN,81,9,cellar
LUWIN,81,10,Perhaps
LUWIN,81,11,we’ll
LUWIN,81,12,find
LUWIN,81,13,out
CATELYN,82,0,In
CATELYN,82,1,any
CATELYN,82,2,case
CATELYN,82,3,candles
JON,83,0,Why’s
JON,83,1,your
JON,83,2,mother
JON,83,3,so
JON,83,4,deadset
JON,83,5,on
JON,83,6,us
JON,83,7,getting
JON,83,8,pretty
JON,83,9,for
JON,83,10,the
JON,83,11,king
THEON,84,0,It’s
THEON,84,1,for
THEON,84,2,the
THEON,84,3,queen
THEON,84,4,I
THEON,84,5,bet
THEON,84,6,I
THEON,84,7,hear
THEON,84,8,she’s
THEON,84,9,[sleek
THEON,84,10,as
THEON,84,11,a
THEON,84,12,mink]
ROBB,85,0,I
ROBB,85,1,hear
ROBB,85,2,the
ROBB,85,3,prince
ROBB,85,4,is
ROBB,85,5,a
ROBB,85,6,right
ROBB,85,7,royal
ROBB,85,8,prick
THEON,86,0,Think
THEON,86,1,of
THEON,86,2,all
THEON,86,3,those
THEON,86,4,southern
THEON,86,5,girls
THEON,86,6,he
THEON,86,7,gets
THEON,86,8,to
THEON,86,9,stab
THEON,86,10,with
THEON,86,11,his
THEON,86,12,right
THEON,86,13,royal
THEON,86,14,prick
CATELYN,87,0,Gods
CATELYN,87,1,but
CATELYN,87,2,they
CATELYN,87,3,grow
CATELYN,87,4,fast
CATELYN,87,5,[Seeing
CATELYN,87,6,BRAN
CATELYN,87,7,on
CATELYN,87,8,the
CATELYN,87,9,wall]
CATELYN,87,10,Brandon
BRAN,88,0,I
BRAN,88,1,saw
BRAN,88,2,the
BRAN,88,3,king
BRAN,88,4,He’s
BRAN,88,5,got
BRAN,88,6,hundreds
BRAN,88,7,of
BRAN,88,8,people
CATELYN,89,0,How
CATELYN,89,1,many
CATELYN,89,2,times
CATELYN,89,3,have
CATELYN,89,4,I
CATELYN,89,5,told
CATELYN,89,6,you
CATELYN,89,7,No
CATELYN,89,8,climbing
BRAN,90,0,But
BRAN,90,1,he’s
BRAN,90,2,coming
BRAN,90,3,right
BRAN,90,4,now
BRAN,90,5,Down
BRAN,90,6,our
BRAN,90,7,road
CATELYN,91,0,I
CATELYN,91,1,want
CATELYN,91,2,you
CATELYN,91,3,to
CATELYN,91,4,promise
CATELYN,91,5,me
CATELYN,91,6,No
CATELYN,91,7,more
CATELYN,91,8,climbing
BRAN,92,0,I
BRAN,92,1,promise
CATELYN,93,0,D’you
CATELYN,93,1,know
CATELYN,93,2,what
BRAN,94,0,What
CATELYN,95,0,You
CATELYN,95,1,always
CATELYN,95,2,look
CATELYN,95,3,at
CATELYN,95,4,your
CATELYN,95,5,feet
CATELYN,95,6,before
CATELYN,95,7,you
CATELYN,95,8,lie
CATELYN,95,9,Run
CATELYN,95,10,and
CATELYN,95,11,find
CATELYN,95,12,your
CATELYN,95,13,father
CATELYN,95,14,Tell
CATELYN,95,15,him
CATELYN,95,16,the
CATELYN,95,17,king
CATELYN,95,18,is
CATELYN,95,19,close
CATELYN,96,0,Where’s
CATELYN,96,1,Arya
CATELYN,96,2,Sansa
CATELYN,96,3,where’s
CATELYN,96,4,your
CATELYN,96,5,sister
NED,97,0,Hey
NED,97,1,hey
NED,97,2,hey
NED,97,3,hey
NED,97,4,What
NED,97,5,are
NED,97,6,you
NED,97,7,doing
NED,97,8,with
NED,97,9,that
NED,97,10,on
NED,97,11,[Pulls
NED,97,12,off
NED,97,13,ARYA’s
NED,97,14,helm]
ARYA,98,0,Move
ROBERT,99,0,You’ve
ROBERT,99,1,got
ROBERT,99,2,fat
ROBERT,100,0,Cat
CATELYN,101,0,Your
CATELYN,101,1,Grace
ROBERT,102,0,Nine
ROBERT,102,1,years
ROBERT,102,2,Why
ROBERT,102,3,haven’t
ROBERT,102,4,I
ROBERT,102,5,seen
ROBERT,102,6,you
ROBERT,102,7,Where
ROBERT,102,8,the
ROBERT,102,9,hell
ROBERT,102,10,have
ROBERT,102,11,you
ROBERT,102,12,been
NED,103,0,Guarding
NED,103,1,the
NED,103,2,North
NED,103,3,for
NED,103,4,you
NED,103,5,Your
NED,103,6,Grace
NED,103,7,Winterfell
NED,103,8,is
NED,103,9,yours
ROBERT,104,0,Who
ROBERT,104,1,have
ROBERT,104,2,we
ROBERT,104,3,here
ROBERT,104,4,You
ROBERT,104,5,must
ROBERT,104,6,be
ROBERT,104,7,Robb
ROBERT,104,8,To
ROBERT,104,9,Sansa
ROBERT,104,10,My
ROBERT,104,11,you’re
ROBERT,104,12,a
ROBERT,104,13,pretty
ROBERT,104,14,one
ROBERT,104,15,To
ROBERT,104,16,Arya
ROBERT,104,17,Your
ROBERT,104,18,name
ROBERT,104,19,is
ARYA,105,0,Arya
ARYA,106,0,That’s
ARYA,106,1,Jaime
ARYA,106,2,Lannister
ARYA,106,3,The
ARYA,106,4,queen’s
ARYA,106,5,twin
ARYA,106,6,brother
SANSA,107,0,Would
SANSA,107,1,you
SANSA,107,2,please
SANSA,107,3,shut
SANSA,107,4,up
NED,108,0,My
NED,108,1,queen
CATELYN,109,0,My
CATELYN,109,1,queen
CERSEI,110,0,We’ve
CERSEI,110,1,been
CERSEI,110,2,riding
CERSEI,110,3,for
CERSEI,110,4,a
CERSEI,110,5,month
CERSEI,110,6,my
CERSEI,110,7,love
CERSEI,110,8,Surely
CERSEI,110,9,the
CERSEI,110,10,dead
CERSEI,110,11,can
CERSEI,110,12,wait
ROBERT,111,0,Ned
NED,112,0,Tell
NED,112,1,me
NED,112,2,about
NED,112,3,Jon
NED,112,4,Arryn
ROBERT,113,0,One
ROBERT,113,1,minute
ROBERT,113,2,he
ROBERT,113,3,was
ROBERT,113,4,fine
ROBERT,113,5,and
ROBERT,113,6,then
ROBERT,113,7,Burned
ROBERT,113,8,right
ROBERT,113,9,through
ROBERT,113,10,him
ROBERT,113,11,whatever
ROBERT,113,12,it
ROBERT,113,13,was
ROBERT,113,14,I
ROBERT,113,15,loved
ROBERT,113,16,that
ROBERT,113,17,man
NED,114,0,We
NED,114,1,both
NED,114,2,did
ROBERT,115,0,He
ROBERT,115,1,never
ROBERT,115,2,had
ROBERT,115,3,to
ROBERT,115,4,teach
ROBERT,115,5,you
ROBERT,115,6,much
ROBERT,115,7,but
ROBERT,115,8,me
ROBERT,115,9,You
ROBERT,115,10,remember
ROBERT,115,11,me
ROBERT,115,12,at
ROBERT,115,13,16
ROBERT,115,14,All
ROBERT,115,15,I
ROBERT,115,16,wanted
ROBERT,115,17,to
ROBERT,115,18,do
ROBERT,115,19,was
ROBERT,115,20,crack
ROBERT,115,21,skulls
ROBERT,115,22,and
ROBERT,115,23,fuck
ROBERT,115,24,girls
ROBERT,115,25,He
ROBERT,115,26,showed
ROBERT,115,27,me
ROBERT,115,28,what
ROBERT,115,29,was
ROBERT,115,30,what
NED,116,0,Aye
ROBERT,117,0,Don’t
ROBERT,117,1,look
ROBERT,117,2,at
ROBERT,117,3,me
ROBERT,117,4,like
ROBERT,117,5,that
ROBERT,117,6,Not
ROBERT,117,7,his
ROBERT,117,8,fault
ROBERT,117,9,I
ROBERT,117,10,didn’t
ROBERT,117,11,listen
ROBERT,117,12,They
ROBERT,117,13,laugh
ROBERT,117,14,ROBERT
ROBERT,117,15,sighs
ROBERT,117,16,I
ROBERT,117,17,need
ROBERT,117,18,you
ROBERT,117,19,Ned
ROBERT,117,20,Down
ROBERT,117,21,at
ROBERT,117,22,Kings
ROBERT,117,23,Landing
ROBERT,117,24,Not
ROBERT,117,25,up
ROBERT,117,26,here
ROBERT,117,27,where
ROBERT,117,28,you’re
ROBERT,117,29,no
ROBERT,117,30,damn
ROBERT,117,31,use
ROBERT,117,32,to
ROBERT,117,33,anybody
ROBERT,117,34,Lord
ROBERT,117,35,Eddard
ROBERT,117,36,Stark
ROBERT,117,37,I
ROBERT,117,38,would
ROBERT,117,39,name
ROBERT,117,40,you
ROBERT,117,41,the
ROBERT,117,42,Hand
ROBERT,117,43,of
ROBERT,117,44,the
ROBERT,117,45,king
NED,118,0,I’m
NED,118,1,not
NED,118,2,worthy
NED,118,3,of
NED,118,4,the
NED,118,5,honor
ROBERT,119,0,I’m
ROBERT,119,1,not
ROBERT,119,2,trying
ROBERT,119,3,to
ROBERT,119,4,honor
ROBERT,119,5,you
ROBERT,119,6,I’m
ROBERT,119,7,trying
ROBERT,119,8,to
ROBERT,119,9,get
ROBERT,119,10,you
ROBERT,119,11,to
ROBERT,119,12,run
ROBERT,119,13,my
ROBERT,119,14,kingdom
ROBERT,119,15,while
ROBERT,119,16,I
ROBERT,119,17,eat
ROBERT,119,18,drink
ROBERT,119,19,and
ROBERT,119,20,whore
ROBERT,119,21,my
ROBERT,119,22,way
ROBERT,119,23,to
ROBERT,119,24,an
ROBERT,119,25,early
ROBERT,119,26,grave
ROBERT,119,27,Damn
ROBERT,119,28,it
ROBERT,119,29,Ned
ROBERT,119,30,stand
ROBERT,119,31,up
ROBERT,119,32,You
ROBERT,119,33,helped
ROBERT,119,34,me
ROBERT,119,35,win
ROBERT,119,36,the
ROBERT,119,37,Iron
ROBERT,119,38,Throne
ROBERT,119,39,now
ROBERT,119,40,help
ROBERT,119,41,me
ROBERT,119,42,keep
ROBERT,119,43,the
ROBERT,119,44,damn
ROBERT,119,45,thing
ROBERT,119,46,We
ROBERT,119,47,were
ROBERT,119,48,meant
ROBERT,119,49,to
ROBERT,119,50,rule
ROBERT,119,51,together
ROBERT,119,52,If
ROBERT,119,53,your
ROBERT,119,54,sister
ROBERT,119,55,had
ROBERT,119,56,lived
ROBERT,119,57,we
ROBERT,119,58,would
ROBERT,119,59,have
ROBERT,119,60,been
ROBERT,119,61,bound
ROBERT,119,62,by
ROBERT,119,63,blood
ROBERT,119,64,Well
ROBERT,119,65,it’s
ROBERT,119,66,not
ROBERT,119,67,too
ROBERT,119,68,late
ROBERT,119,69,I
ROBERT,119,70,have
ROBERT,119,71,a
ROBERT,119,72,son
ROBERT,119,73,you
ROBERT,119,74,have
ROBERT,119,75,a
ROBERT,119,76,daughter
ROBERT,119,77,We’ll
ROBERT,119,78,join
ROBERT,119,79,our
ROBERT,119,80,Houses
TYRION,120,0,Mmh
TYRION,120,1,It
TYRION,120,2,is
TYRION,120,3,true
TYRION,120,4,what
TYRION,120,5,they
TYRION,120,6,say
TYRION,120,7,about
TYRION,120,8,the
