name,sentence_id,order_id,word
711,CATELYN,80,5,drink
713,CATELYN,80,7,man
716,CATELYN,80,10,stature
717,LUWIN,81,0,we’ve
718,LUWIN,81,1,brought
720,LUWIN,81,3,eight
721,LUWIN,81,4,barrels
723,LUWIN,81,6,ale
726,LUWIN,81,9,cellar
727,LUWIN,81,10,perhaps
728,LUWIN,81,11,we’ll
729,LUWIN,81,12,find
730,LUWIN,81,13,out
733,CATELYN,82,2,case
734,CATELYN,82,3,candles
735,JON,83,0,why’s
737,JON,83,2,mother
739,JON,83,4,deadset
742,JON,83,7,getting
743,JON,83,8,pretty
746,JON,83,11,king
750,THEON,84,3,queen
752,THEON,84,5,bet
754,THEON,84,7,hear
755,THEON,84,8,she’s
756,THEON,84,9,[sleek
759,THEON,84,12,mink]
761,ROBB,85,1,hear
763,ROBB,85,3,prince
766,ROBB,85,6,right
767,ROBB,85,7,royal
768,ROBB,85,8,prick
769,THEON,86,0,think
773,THEON,86,4,southern
774,THEON,86,5,girls
776,THEON,86,7,gets
778,THEON,86,9,stab
781,THEON,86,12,right
782,THEON,86,13,royal
783,THEON,86,14,prick
784,CATELYN,87,0,gods
787,CATELYN,87,3,grow
788,CATELYN,87,4,fast
789,CATELYN,87,5,[seeing
790,CATELYN,87,6,bran
793,CATELYN,87,9,wall]
794,CATELYN,87,10,brandon
796,BRAN,88,1,saw
798,BRAN,88,3,king
799,BRAN,88,4,he’s
800,BRAN,88,5,got
801,BRAN,88,6,hundreds
803,BRAN,88,8,people
806,CATELYN,89,2,times
809,CATELYN,89,5,told
812,CATELYN,89,8,climbing
814,BRAN,90,1,he’s
815,BRAN,90,2,coming
816,BRAN,90,3,right
817,BRAN,90,4,now
818,BRAN,90,5,down
820,BRAN,90,7,road
822,CATELYN,91,1,want
825,CATELYN,91,4,promise
829,CATELYN,91,8,climbing
831,BRAN,92,1,promise
832,CATELYN,93,0,d’you
837,CATELYN,95,1,always
838,CATELYN,95,2,look
841,CATELYN,95,5,feet
844,CATELYN,95,8,lie
845,CATELYN,95,9,run
847,CATELYN,95,11,find
849,CATELYN,95,13,father
850,CATELYN,95,14,tell
853,CATELYN,95,17,king
855,CATELYN,95,19,close
856,CATELYN,96,0,where’s
857,CATELYN,96,1,arya
858,CATELYN,96,2,sansa
859,CATELYN,96,3,where’s
861,CATELYN,96,5,sister
862,NED,97,0,hey
863,NED,97,1,hey
864,NED,97,2,hey
865,NED,97,3,hey
869,NED,97,7,doing
873,NED,97,11,[pulls
875,NED,97,13,arya’s
876,NED,97,14,helm]
877,ARYA,98,0,move
878,ROBERT,99,0,you’ve
879,ROBERT,99,1,got
880,ROBERT,99,2,fat
881,ROBERT,100,0,cat
883,CATELYN,101,1,grace
884,ROBERT,102,0,nine
885,ROBERT,102,1,years
887,ROBERT,102,3,haven’t
889,ROBERT,102,5,seen
891,ROBERT,102,7,where
893,ROBERT,102,9,hell
896,ROBERT,102,12,been
897,NED,103,0,guarding
899,NED,103,2,north
903,NED,103,6,grace
904,NED,103,7,winterfell
912,ROBERT,104,5,must
914,ROBERT,104,7,robb
916,ROBERT,104,9,sansa
920,ROBERT,104,13,pretty
923,ROBERT,104,16,arya
925,ROBERT,104,18,name
927,ARYA,105,0,arya
929,ARYA,106,1,jaime
930,ARYA,106,2,lannister
932,ARYA,106,4,queen’s
933,ARYA,106,5,twin
934,ARYA,106,6,brother
937,SANSA,107,2,please
938,SANSA,107,3,shut
941,NED,108,1,queen
943,CATELYN,109,1,queen
944,CERSEI,110,0,we’ve
945,CERSEI,110,1,been
946,CERSEI,110,2,riding
949,CERSEI,110,5,month
951,CERSEI,110,7,love
952,CERSEI,110,8,surely
954,CERSEI,110,10,dead
956,CERSEI,110,12,wait
957,ROBERT,111,0,ned
958,NED,112,0,tell
961,NED,112,3,jon
962,NED,112,4,arryn
964,ROBERT,113,1,minute
967,ROBERT,113,4,fine
969,ROBERT,113,6,then
970,ROBERT,113,7,burned
971,ROBERT,113,8,right
978,ROBERT,113,15,loved
980,ROBERT,113,17,man
985,ROBERT,115,1,never
986,ROBERT,115,2,had
988,ROBERT,115,4,teach
994,ROBERT,115,10,remember
997,ROBERT,115,13,16
1000,ROBERT,115,16,wanted
1004,ROBERT,115,20,crack
1005,ROBERT,115,21,skulls
1007,ROBERT,115,23,fuck
1008,ROBERT,115,24,girls
1010,ROBERT,115,26,showed
1015,NED,116,0,aye
1017,ROBERT,117,1,look
1024,ROBERT,117,8,fault
1026,ROBERT,117,10,didn’t
1027,ROBERT,117,11,listen
1029,ROBERT,117,13,laugh
1030,ROBERT,117,14,robert
1031,ROBERT,117,15,sighs
1033,ROBERT,117,17,need
1035,ROBERT,117,19,ned
1036,ROBERT,117,20,down
1038,ROBERT,117,22,kings
1039,ROBERT,117,23,landing
1043,ROBERT,117,27,where
1046,ROBERT,117,30,damn
1047,ROBERT,117,31,use
1050,ROBERT,117,34,lord
1051,ROBERT,117,35,eddard
1052,ROBERT,117,36,stark
1055,ROBERT,117,39,name
1058,ROBERT,117,42,hand
1061,ROBERT,117,45,king
1064,NED,118,2,worthy
1067,NED,118,5,honor
1070,ROBERT,119,2,trying
1072,ROBERT,119,4,honor
1075,ROBERT,119,7,trying
1077,ROBERT,119,9,get
1080,ROBERT,119,12,run
1082,ROBERT,119,14,kingdom
1083,ROBERT,119,15,while
1085,ROBERT,119,17,eat
1086,ROBERT,119,18,drink
1088,ROBERT,119,20,whore
1090,ROBERT,119,22,way
1093,ROBERT,119,25,early
1094,ROBERT,119,26,grave
1095,ROBERT,119,27,damn
1097,ROBERT,119,29,ned
1098,ROBERT,119,30,stand
1101,ROBERT,119,33,helped
1103,ROBERT,119,35,win
1105,ROBERT,119,37,iron
1106,ROBERT,119,38,throne
1107,ROBERT,119,39,now
1108,ROBERT,119,40,help
1110,ROBERT,119,42,keep
1112,ROBERT,119,44,damn
1113,ROBERT,119,45,thing
1116,ROBERT,119,48,meant
1118,ROBERT,119,50,rule
1119,ROBERT,119,51,together
1122,ROBERT,119,54,sister
1123,ROBERT,119,55,had
1124,ROBERT,119,56,lived
1128,ROBERT,119,60,been
1129,ROBERT,119,61,bound
1131,ROBERT,119,63,blood
1132,ROBERT,119,64,well
1135,ROBERT,119,67,too
1136,ROBERT,119,68,late
1140,ROBERT,119,72,son
1144,ROBERT,119,76,daughter
1145,ROBERT,119,77,we’ll
1146,ROBERT,119,78,join
1148,ROBERT,119,80,houses
1149,TYRION,120,0,mmh
1152,TYRION,120,3,true
1155,TYRION,120,6,say
1158,TYRION,120,9,northern
1159,TYRION,120,10,girls
1162,ROS,121,2,hear
1164,ROS,121,4,king’s
1166,ROS,121,6,winterfell
1169,TYRION,122,2,hear
1170,TYRION,122,3,something
1175,ROS,123,2,queen
1178,ROS,123,5,twin
1179,ROS,123,6,brother
1181,ROS,123,8,say
1187,ROS,123,14,handsome
1188,ROS,123,15,man
1191,ROS,123,18,seven
1192,ROS,123,19,kingdoms
1196,TYRION,124,3,brother
1198,ROS,125,1,queen
1200,ROS,125,3,two
1201,ROS,125,4,brothers
1202,TYRION,126,0,there’s
1204,TYRION,126,2,pretty
1207,TYRION,126,5,there’s
1209,TYRION,126,7,clever
1212,ROS,127,1,hear
1214,ROS,127,3,call
1217,ROS,127,6,imp
1219,TYRION,128,1,hear
1221,TYRION,128,3,hates
1223,TYRION,128,5,nickname
1224,ROS,129,0,oh
1226,ROS,129,2,hear
1227,ROS,129,3,he’s
1230,ROS,129,6,earned
1233,ROS,129,9,hear
1234,ROS,129,10,he’s
1236,ROS,129,12,drunken
1237,ROS,129,13,little
1238,ROS,129,14,lecher
1241,ROS,129,17,manner
1243,ROS,129,19,perversions
1244,TYRION,130,0,clever
1245,TYRION,130,1,girl
1249,TYRION,132,1,gods
1250,TYRION,132,2,gave
1253,TYRION,132,5,blessing
1255,JAIME,133,1,get
1257,ROS,134,0,m’lord
1258,TYRION,135,0,should
1260,TYRION,135,2,explain
1264,TYRION,135,6,meaning
1267,TYRION,135,9,closed
1268,TYRION,135,10,door
1271,TYRION,135,13,whorehouse
1272,TYRION,135,14,brother
1275,TYRION,136,2,odd
1276,TYRION,136,3,cravings
1278,TYRION,136,5,sister
1280,JAIME,137,1,family
1281,JAIME,137,2,trait
1282,JAIME,137,3,now
1284,JAIME,137,5,starks
1286,JAIME,137,7,feasting
1289,JAIME,137,10,sundown
1291,JAIME,137,12,leave
1293,JAIME,137,14,alone
1296,JAIME,137,17,people
1298,JAIME,138,1,thought
1300,JAIME,138,3,might
1301,JAIME,138,4,say
1305,JAIME,138,8,we’re
1306,JAIME,138,9,short
1308,JAIME,138,11,time
1310,JAIME,138,13,opens
1312,JAIME,138,15,door;
1314,JAIME,138,17,bevy
1316,JAIME,138,19,whores
1317,JAIME,138,20,enter
1319,JAIME,138,22,descend
1321,JAIME,138,24,tyrion
1322,JAIME,138,25,come
1324,JAIME,138,27,girls
1325,JAIME,138,28,see
1328,JAIME,138,31,sundown
1329,TYRION,139,0,close
1331,TYRION,139,2,door
1336,ROBERT,140,4,bury
1340,ROBERT,140,8,place
1344,ROBERT,140,12,should
1348,ROBERT,140,16,hill
1349,ROBERT,140,17,somewhere
1352,ROBERT,140,20,sun
1355,ROBERT,140,23,clouds
1361,NED,141,3,sister
1364,NED,141,6,where
1366,NED,141,8,belongs
1369,ROBERT,142,2,dreams
1371,ROBERT,142,4,kill
1373,ROBERT,142,6,every
