"Team","Pts","FastBreakPts","Opp.FBPts","PointsInPaint","Opp.PiP","PointsOffTO","Opp.PoT","X2ndChancePTS","Opp.2ndCh.PTS","LeadChanges","TimesTied","Season","SeasonType","MatchCount","IsNBAChampion","year"
"Utah Jazz",95.012,12.3,15.57,41.54,45.83,17.43,13.74,13.39,12.32,5.93,4.71,"2013-2014","REG",82,0,2014
"Washington Wizards",100.659,15.74,12.28,41.27,41.93,16.76,18.21,12.26,12.88,6.5,4.83,"2013-2014","REG",82,0,2014
"Atlanta Hawks",92.429,10.43,9.71,27.14,37.71,17.43,15.86,9.71,10.71,8.14,5.14,"2013-2014","POFF",7,0,2014
"Brooklyn Nets",95.5,8.58,8.58,39.33,38.17,12.83,13.17,12.08,9.58,6.67,7.08,"2013-2014","POFF",12,0,2014
"Charlotte Bobcats",92,9,9.25,36.5,38.5,19.75,9.25,9.75,11.5,9,6.25,"2013-2014","POFF",4,0,2014
"Chicago Bulls",90,5.2,13.6,35.2,34.4,17.4,11.2,14.6,11.6,6,4.8,"2013-2014","POFF",5,0,2014
"Dallas Mavericks",101.143,11.43,13.43,36.86,45.43,14,14.86,12.71,10.43,7.43,7.86,"2013-2014","POFF",7,0,2014
"Golden State Warriors",106.429,16.43,17.57,46.57,40.29,19.71,15.29,14.71,12.14,5.57,4.86,"2013-2014","POFF",7,0,2014
"Houston Rockets",112,12.17,14,55.33,39,17.83,13.83,20.33,16,9.67,10.33,"2013-2014","POFF",6,0,2014
"Indiana Pacers",91.579,8.95,10.84,35.79,33.37,15.63,15.68,10.63,10.89,6.74,4.42,"2013-2014","POFF",19,0,2014
"Los Angeles Clippers",108.769,15.62,15.77,41.08,43.54,14.15,18.77,12.92,13.31,6.08,4.77,"2013-2014","POFF",13,0,2014
"Memphis Grizzlies",96.714,10.86,18.14,48.86,38.57,13.43,17.43,12.29,12.14,4,5.29,"2013-2014","POFF",7,0,2014
"Miami Heat",97.25,9.7,8.75,37.9,37.6,13.1,16.3,9.45,11.9,7.4,5.35,"2013-2014","POFF",20,0,2014
"Oklahoma City Thunder",102.474,15.47,11,39.16,46,18.21,13.63,11.47,13.21,5.95,4.95,"2013-2014","POFF",19,0,2014
"Portland Trailblazers",104.273,11.55,14.45,39.82,48.55,15.64,13.73,15.55,18,6.18,7,"2013-2014","POFF",11,0,2014
"San Antonio Spurs",106.348,12.87,11.04,43.83,38.35,13.22,17.09,12.43,11.52,6.13,5.39,"2013-2014","POFF",23,1,2014
"Toronto Raptors",96.143,9.29,9.86,39.43,42.86,15,11.29,11.57,11,5.43,6.57,"2013-2014","POFF",7,0,2014
"Washington Wizards",90.364,12.36,7.82,34.55,33.27,13.45,15.36,11.45,11.27,5.91,4.91,"2013-2014","POFF",11,0,2014
"Atlanta Hawks",102.549,13.33,11.17,41.41,39.41,15.79,18.49,11.04,14.13,4.85,4,"2014-2015","REG",82,0,2015
"Brooklyn Nets",98.024,9.41,13.82,45.1,43.59,15.61,14.32,12.26,14.05,6.05,5.1,"2014-2015","REG",82,0,2015
"Boston Celtics",101.366,13.88,10.85,41.78,44.61,16.2,17.33,14.05,13.54,5.7,5.09,"2014-2015","REG",82,0,2015
"Charlotte Hornets",94.159,9.17,11.04,36.51,38.49,12.84,13.4,12.37,12.57,5.68,5.01,"2014-2015","REG",82,0,2015
"Chicago Bulls",100.793,10.99,12.99,41.05,40.78,15.34,13.68,13.87,13.16,6.98,5.44,"2014-2015","REG",82,0,2015
"Cleveland Cavaliers",103.134,11.33,11.83,40.98,42.71,16.21,16.01,12.77,12.4,6.2,4.7,"2014-2015","REG",82,0,2015
"Dallas Mavericks",105.22,15.98,15.87,42.71,40.88,15.18,19.29,13.09,14.02,5.24,5.05,"2014-2015","REG",82,0,2015
"Denver Nuggets",101.463,15,13.2,44.93,42.88,16.44,16.89,14.46,14.15,5.67,4.93,"2014-2015","REG",82,0,2015
"Detroit Pistons",98.5,13.4,11.34,44.76,42.93,15.79,15.88,14.85,13.54,6.29,5.45,"2014-2015","REG",82,0,2015
"Golden State Warriors",109.951,20.88,13.93,45.27,41.59,15.02,19.51,12.52,14.2,5.33,4.85,"2014-2015","REG",82,1,2015
"Houston Rockets",103.927,18.73,15.28,45.27,44.1,18.15,18.71,13.55,14.01,6.38,5.56,"2014-2015","REG",82,0,2015
"Indiana Pacers",97.329,9.55,13.05,37.12,38.29,15.52,14.23,13.43,11.79,5.71,4.79,"2014-2015","REG",82,0,2015
"Los Angeles Clippers",106.72,14.18,12.28,37.41,38.83,14.85,15.7,12.52,12.78,6.06,5.11,"2014-2015","REG",82,0,2015
"Los Angeles Lakers",98.451,12.2,15.13,40.02,45.07,15.91,14.49,14.27,12.54,6.06,5.21,"2014-2015","REG",82,0,2015
"Memphis Grizzlies",98.317,11.68,13.43,47.15,38.98,14.02,16.62,12.91,11.63,5.67,4.84,"2014-2015","REG",82,0,2015
"Miami Heat",93.329,9.84,11.41,39.61,41,16.85,16.02,12.09,13.24,5.54,4.78,"2014-2015","REG",82,0,2015
"Milwaukee Bucks",97.841,15.09,10.7,42.83,39.78,16.76,19.18,11.95,13.32,6.83,5.56,"2014-2015","REG",82,0,2015
"Minnesota Timberwolves",97.756,12.88,14.33,41.29,48.02,17.4,17.44,14.12,14.91,6.12,5.27,"2014-2015","REG",82,0,2015
"New Orleans Pelicans",99.354,10.68,13.7,44.98,46.49,14.59,13.68,13.56,12.9,6.6,5.88,"2014-2015","REG",82,0,2015
"New York Knicks",90.829,8.35,12.27,33.37,41.12,17.15,14.63,12.4,12.52,5.84,4.96,"2014-2015","REG",82,0,2015
"Oklahoma City Thunder",103.951,17.02,12.54,44.93,42.76,16.3,15.23,15.22,12.77,5.51,4.84,"2014-2015","REG",82,0,2015
"Orlando Magic",95.695,11.26,12.32,45.12,41.05,16.73,16.17,12.2,11.67,7.62,5.59,"2014-2015","REG",82,0,2015
"Philadelphia 76ers",91.78,14.76,14.63,40.8,41.71,20.57,17.24,13.82,13.95,6.17,4.99,"2014-2015","REG",82,0,2015
"Phoenix Suns",102.402,18.2,15.24,42.78,45.34,17.22,17.68,12.62,14.43,6.61,5.21,"2014-2015","REG",82,0,2015
"Portland Trailblazers",102.793,10.09,13.34,37.88,43.1,15.13,14.1,13.44,13.77,5.8,5.49,"2014-2015","REG",82,0,2015
"Sacramento Kings",101.341,14.94,16.8,45.1,43.85,18.11,14.99,14.13,13.6,6.12,4.91,"2014-2015","REG",82,0,2015
"San Antonio Spurs",103.183,10.98,14.1,45,42.46,15.06,16.09,12.15,11.94,5.28,4.52,"2014-2015","REG",82,0,2015
"Toronto Raptors",103.988,11.93,12.35,42.98,43.68,14.66,15.85,14.13,14.17,6,5.44,"2014-2015","REG",82,0,2015
"Utah Jazz",94.78,12.16,12.65,41.61,39.46,17.43,15.18,15.12,12.54,6.18,4.84,"2014-2015","REG",82,0,2015
"Washington Wizards",98.537,15.45,11.74,41.49,38.27,16.43,15.23,11.95,12.61,5.39,4.55,"2014-2015","REG",82,0,2015
"Atlanta Hawks",98,13.63,9.63,44.63,39,9.25,11.81,11.81,12.88,5.19,4.75,"2014-2015","POFF",16,0,2015
"Brooklyn Nets",96.333,6,16.67,39.33,44,18.5,15.17,10.83,13,4.67,3.17,"2014-2015","POFF",6,0,2015
"Boston Celtics",94.75,8.75,6.75,43.5,36.5,17,14.25,15.25,16.25,5.75,4.75,"2014-2015","POFF",4,0,2015
"Chicago Bulls",96,11.33,9.67,37.17,36.67,16.75,15.67,15.33,15.08,7.25,6.08,"2014-2015","POFF",12,0,2015
"Cleveland Cavaliers",99,6.55,10.65,38.2,39.7,12.6,12.7,15.2,13.75,6.25,5.6,"2014-2015","POFF",20,0,2015
"Dallas Mavericks",110,21.4,20.4,48.8,56.4,17,16.6,15,16.6,5.8,7.2,"2014-2015","POFF",5,0,2015
"Golden State Warriors",97.81,19.05,11.9,40.95,41.9,15.86,15.71,13.33,11.76,4.1,3.33,"2014-2015","POFF",21,1,2015
"Houston Rockets",103.471,19.35,19,49.06,48.82,19.59,16.41,14,14.35,4.41,4.82,"2014-2015","POFF",17,0,2015
"Los Angeles Clippers",107.786,16.43,14,45.14,45,16,16.71,11.64,14.21,8.07,6.29,"2014-2015","POFF",14,0,2015
"Memphis Grizzlies",94.727,11.27,16.45,42.91,35.45,10.91,16.18,13.27,10.73,3,2.18,"2014-2015","POFF",11,0,2015
"Milwaukee Bucks",88.5,12.33,11.83,37.33,38.67,18.33,19.83,14.33,14.83,8.33,6.33,"2014-2015","POFF",6,0,2015
"New Orleans Pelicans",100.75,10.75,22.5,41.5,42.5,14.25,13.5,9.5,16.25,4.25,3,"2014-2015","POFF",4,0,2015
"Portland Trailblazers",93.8,9.6,9,34.8,45.2,14,9.4,13,13.2,4.2,2.8,"2014-2015","POFF",5,0,2015
"San Antonio Spurs",103.429,9.86,16.43,43.71,42.57,13.57,16.43,12.86,11,11.86,8.29,"2014-2015","POFF",7,0,2015
"Toronto Raptors",96.25,9,18.25,45,44,13.75,15.5,15.75,11.75,4,3.75,"2014-2015","POFF",4,0,2015
"Washington Wizards",101.1,15.7,11.7,40.2,44.6,11.2,9.4,12.7,13.4,4.7,4.6,"2014-2015","POFF",10,0,2015
"Atlanta Hawks",102.634,14.76,11.9,43.24,40.88,10.95,12.98,10.68,13.06,6.27,4.96,"2015-2016","REG",82,0,2016
"Brooklyn Nets",98.646,11.46,14.49,46,47.78,11.94,9.61,12.62,12.06,7.26,5.51,"2015-2016","REG",82,0,2016
"Boston Celtics",105.72,16.3,10.83,45.8,42.85,10.2,12.65,14.32,14.2,5.62,4.94,"2015-2016","REG",82,0,2016
"Charlotte Hornets",103.402,11.07,12.4,37.54,39.88,9.39,10.2,11.43,11.38,6.62,4.94,"2015-2016","REG",82,0,2016
"Chicago Bulls",101.646,10.2,13.76,40.88,44.37,10.06,8.6,13.59,14.26,6.29,5.77,"2015-2016","REG",82,0,2016
"Cleveland Cavaliers",104.329,11.84,11.18,40.93,40.73,10,10.43,13.22,11.21,5.61,4.52,"2015-2016","REG",82,1,2016
"Dallas Mavericks",102.293,11.22,16.05,37.98,40.78,9.83,10.57,10.63,13.41,6.91,5.4,"2015-2016","REG",82,0,2016
"Denver Nuggets",101.89,14.18,13.05,45.88,43.07,10.66,10.09,13.29,12.13,7.89,5.91,"2015-2016","REG",82,0,2016
"Detroit Pistons",101.963,11.07,10.4,43.44,44.37,9.68,10.56,14.93,10.72,5.85,4.78,"2015-2016","REG",82,0,2016
"Golden State Warriors",114.89,20.91,14.48,44.63,45.12,10.7,11.24,12.24,13.76,6.35,4.73,"2015-2016","REG",82,0,2016
"Houston Rockets",106.549,18.06,14.43,45.73,44.56,12.91,12.3,13.85,14.66,7.02,5.73,"2015-2016","REG",82,0,2016
"Indiana Pacers",102.159,13.35,12.22,40.93,41.46,11.07,12.94,12.85,13.05,7.66,5.98,"2015-2016","REG",82,0,2016
"Los Angeles Clippers",104.5,12.85,12.39,37.63,41.29,9.54,10.72,10.62,13.84,6.1,5.04,"2015-2016","REG",82,0,2016
"Los Angeles Lakers",97.341,12.15,16.99,38.12,47.68,11.11,9,13.01,14.29,5.7,4.5,"2015-2016","REG",82,0,2016
"Memphis Grizzlies",99.098,12.57,14.61,43.95,38.39,9.88,11.22,12.87,11.83,7.63,5.74,"2015-2016","REG",82,0,2016
"Miami Heat",100.037,11.12,10.72,46.41,41.98,9.99,9.82,12.71,12.95,7.17,5.26,"2015-2016","REG",82,0,2016
"Milwaukee Bucks",99.037,13.82,13.01,50.34,44.02,11.85,12.22,12.15,14.04,5.6,4.71,"2015-2016","REG",82,0,2016
"Minnesota Timberwolves",102.415,13.59,13.38,44.1,46.12,11.48,9.95,13.02,13.22,7.44,6.43,"2015-2016","REG",82,0,2016
"New Orleans Pelicans",102.72,12.44,11.73,41.44,43.2,9.24,9.98,11.51,11.3,7.46,6.57,"2015-2016","REG",82,0,2016
"New York Knicks",98.22,8.44,12.8,35.85,43.1,10.65,8.18,13.16,12.7,5.74,5.05,"2015-2016","REG",82,0,2016
"Oklahoma City Thunder",110.22,17.32,13.23,47.61,45.12,11,10.56,15.82,13.96,6.61,5.5,"2015-2016","REG",82,0,2016
"Orlando Magic",102.061,12.3,13.16,43.59,43.41,10.43,10.65,12.63,11.39,6.26,5.06,"2015-2016","REG",82,0,2016
"Philadelphia 76ers",97.415,12.18,16.71,43.15,45.49,13.88,10.66,11.7,14.74,5.73,4.33,"2015-2016","REG",82,0,2016
"Phoenix Suns",100.866,14.43,17.27,41.44,43.78,13.39,11.17,14.02,12.61,6.11,5.12,"2015-2016","REG",82,0,2016
"Portland Trailblazers",105.146,10.7,11.06,39.07,40.88,10.99,9.63,14.1,12.4,6.7,5.45,"2015-2016","REG",82,0,2016
"Sacramento Kings",106.585,17.26,15.01,49.44,43.63,12.09,11.07,12.96,13.62,6.04,4.67,"2015-2016","REG",82,0,2016
"San Antonio Spurs",103.537,10.35,12.15,43.49,40.02,8.83,10.6,11.85,10.68,4.9,4.52,"2015-2016","REG",82,0,2016
"Toronto Raptors",102.707,11.02,10.95,42.02,39.95,9.33,11.05,12.32,11.56,5.93,5.44,"2015-2016","REG",82,0,2016
"Utah Jazz",97.683,9.27,11.72,41.71,39.63,9.52,10.26,13.5,11.46,6.67,4.83,"2015-2016","REG",82,0,2016
"Washington Wizards",104.073,18.57,12.74,42.34,41.12,9.67,11.35,10.6,11.71,6.44,5.23,"2015-2016","REG",82,0,2016
"Atlanta Hawks",100.1,12.1,11.6,43.2,36,0,0,11.6,13.6,5.9,4.1,"2015-2016","POFF",10,0,2016
"Boston Celtics",93.833,11.17,15.17,41.33,44.67,0,0,13.17,11.5,5.33,3.83,"2015-2016","POFF",6,0,2016
"Charlotte Hornets",90.286,5.86,9.43,41.14,43.43,0,0,9,13.57,4.14,5,"2015-2016","POFF",7,0,2016
"Cleveland Cavaliers",104.762,13.62,8.38,38.67,36.86,0,0,14.29,10.62,8.9,5.81,"2015-2016","POFF",21,1,2016
"Dallas Mavericks",93.8,9,17.4,39.6,42,0,0,10.2,16.6,3.4,3.2,"2015-2016","POFF",5,0,2016
"Detroit Pistons",95,7.5,10.5,39,33.5,0,0,9,13,13.5,12.75,"2015-2016","POFF",4,0,2016
"Golden State Warriors",108.217,14.78,15.48,40.52,42.87,0,0,12.35,15.52,6.3,3.87,"2015-2016","POFF",23,0,2016
"Houston Rockets",91.2,11.6,19,42.4,43.2,0,0,13.8,11.4,3.8,2,"2015-2016","POFF",5,0,2016
"Indiana Pacers",93.714,13.57,9.57,34,37.14,0,0,11.86,16,2.43,2.86,"2015-2016","POFF",7,0,2016
"Los Angeles Clippers",98.333,9.17,13.67,42.33,36.67,0,0,14.33,13.67,6.5,4.33,"2015-2016","POFF",6,0,2016
"Memphis Grizzlies",81,8.25,14.5,35.5,37.5,0,0,11.75,9.5,3.75,4.5,"2015-2016","POFF",4,0,2016
"Miami Heat",96.857,8.5,7.64,43.14,40.86,0,0,12.64,11.14,5.14,5.14,"2015-2016","POFF",14,0,2016
"Oklahoma City Thunder",107.471,17.24,13.82,43.06,41.29,0,0,15.24,11.71,4.29,3.76,"2015-2016","POFF",17,0,2016
"Portland Trailblazers",105,14.27,11.82,36.18,43.09,0,0,14.55,13.73,6.36,4,"2015-2016","POFF",11,0,2016
"San Antonio Spurs",102,14.4,13.1,40.2,39,0,0,10.8,12.7,4.1,4.4,"2015-2016","POFF",10,0,2016
"Toronto Raptors",93.4,9.15,11.4,37.7,39.1,0,0,13.05,12.1,5.05,3.55,"2015-2016","POFF",20,0,2016
"Atlanta Hawks",105.5,11,20.67,46,39.33,18.33,14.83,13.5,10.33,4.17,5.33,"2016-2017","POFF",6,0,2017
"Boston Celtics",105.222,12.56,12.67,42.33,46.11,15.28,15.94,12.5,14.33,4.61,4.44,"2016-2017","POFF",18,0,2017
"Chicago Bulls",96.5,9,11.17,43.67,46.33,16.67,13.67,13.5,11.17,5.83,5.5,"2016-2017","POFF",6,0,2017
"Cleveland Cavaliers",116,12.06,13.12,40.59,42.47,14.12,14.47,11.12,12.29,5.12,4,"2016-2017","POFF",17,0,2017
"Golden State Warriors",118.688,21.19,12.81,43.88,44,16.75,17.81,12,12,5.06,3.25,"2016-2017","POFF",16,1,2017
"Houston Rockets",107.727,11.27,14.91,44.36,48.36,18.55,13.09,16.09,14.18,5,3.55,"2016-2017","POFF",11,0,2017
"Indiana Pacers",108.75,8,4.5,42,39,13.25,15.5,12.25,12.5,6.5,6.25,"2016-2017","POFF",4,0,2017
"Los Angeles Clippers",97.714,9.29,7.57,42,42.57,15.14,11,11.57,11,6.57,6,"2016-2017","POFF",7,0,2017
"Memphis Grizzlies",96.333,12.67,9.17,39.67,36.67,14.67,14.33,8.17,13.33,6.5,7.17,"2016-2017","POFF",6,0,2017
"Milwaukee Bucks",93.167,11.17,11.33,38.67,37,16.33,18.83,7.17,9.67,7,6.83,"2016-2017","POFF",6,0,2017
"Oklahoma City Thunder",104.2,15,6.6,45.2,51.6,12,20,13.4,18.4,6,4.2,"2016-2017","POFF",5,0,2017
"Portland Trailblazers",101.5,10.5,20,37,44.5,16.25,14,14.75,10.75,8.25,4.75,"2016-2017","POFF",4,0,2017
"San Antonio Spurs",107.063,13.38,16.31,46.13,41.13,15.94,18.13,13.94,11.31,4.56,4.5,"2016-2017","POFF",16,0,2017
"Toronto Raptors",96.7,10.3,12.4,40.2,37,16.5,14.5,9.7,8.2,6.6,6,"2016-2017","POFF",10,0,2017
"Utah Jazz",97.818,7.82,12.64,42.73,41.27,13.36,13.73,10.18,11.36,5.27,4.27,"2016-2017","POFF",11,0,2017
"Washington Wizards",108.077,17.54,12.31,44.62,43.08,16.15,17.77,14.08,13.54,4.85,5.54,"2016-2017","POFF",13,0,2017
"Atlanta Hawks",103.159,12.12,12.78,42.73,39.15,17.38,16.33,13.48,13.21,6.82,5.11,"2016-2017","REG",82,0,2017
"Brooklyn Nets",105.768,14,14.04,45.9,45.02,19.15,15.05,11.52,14.34,6.18,5.26,"2016-2017","REG",82,0,2017
"Boston Celtics",108.012,12.39,12.22,41.78,43.22,15.18,16.35,11.17,13.94,6.88,5.52,"2016-2017","REG",82,0,2017
"Charlotte Hornets",104.89,9.41,12.87,39.88,40.49,13.06,14.87,11.8,11.43,7.07,5.55,"2016-2017","REG",82,0,2017
"Chicago Bulls",102.866,13.79,13.72,43.27,45.24,15.45,15.65,15.15,11.91,6.27,5.49,"2016-2017","REG",82,0,2017
"Cleveland Cavaliers",110.341,12.88,13.34,39.49,44.51,16.65,14.66,11.51,13.68,5.9,4.74,"2016-2017","REG",82,0,2017
"Dallas Mavericks",97.915,7.78,13.63,32.78,39.54,14,15.72,9.85,11.6,5.9,4.91,"2016-2017","REG",82,0,2017
"Denver Nuggets",111.72,14.17,14.32,49.83,47.41,17.96,14.05,15.07,12.28,5.91,5.04,"2016-2017","REG",82,0,2017
"Detroit Pistons",101.329,11.99,10.7,43.15,41.2,12.78,14.87,13.7,10.15,5.9,4.7,"2016-2017","REG",82,0,2017
"Golden State Warriors",115.89,22.57,14.41,46.63,45.44,16.74,19.34,12.57,13.98,5.46,4.01,"2016-2017","REG",82,1,2017
"Houston Rockets",115.341,16.71,14.27,46.71,49,17.49,18.67,14.26,13.84,5.84,4.67,"2016-2017","REG",82,0,2017
"Indiana Pacers",105.098,10.65,10.57,41.88,39.71,16.22,16.65,11.44,12.93,5.7,4.57,"2016-2017","REG",82,0,2017
"Los Angeles Clippers",108.671,13.91,14.28,39.93,42.71,15.26,15.29,11.34,12.73,5.32,4.62,"2016-2017","REG",82,0,2017
"Los Angeles Lakers",104.573,15.2,16.2,47.73,47.44,17.98,17.39,13.55,13.26,6.57,4.76,"2016-2017","REG",82,0,2017
"Memphis Grizzlies",100.476,10.2,14.62,40.46,37.76,14.87,16.12,13.05,11.54,7.13,5.3,"2016-2017","REG",82,0,2017
"Miami Heat",103.171,11.15,10.29,45.15,44.46,13.93,15.94,13.59,12.84,6.88,5.74,"2016-2017","REG",82,0,2017
"Milwaukee Bucks",103.622,13.78,11.72,48.63,43.66,16.23,17.29,11.09,12.68,6.04,5.28,"2016-2017","REG",82,0,2017
"Minnesota Timberwolves",105.573,12.8,13.9,45.66,46.24,17.26,16.72,14.77,13.41,6.7,5.79,"2016-2017","REG",82,0,2017
"New Orleans Pelicans",104.341,15.05,13.59,44.12,44.1,15.6,14.63,10.8,12.35,7.49,5.94,"2016-2017","REG",82,0,2017
"New York Knicks",104.341,10.89,13.99,40.39,46.1,16.54,14.37,14.94,14.68,6.7,5.16,"2016-2017","REG",82,0,2017
"Oklahoma City Thunder",106.598,16.89,11.13,49.88,47.51,16.94,15.63,14.79,12.17,6.12,4.96,"2016-2017","REG",82,0,2017
"Orlando Magic",101.073,14.05,13.02,42.22,46.59,15.91,14.95,12.45,13.38,6.37,5.13,"2016-2017","REG",82,0,2017
"Philadelphia 76ers",102.439,12.91,15.32,44.34,45.1,18.5,17.32,13.32,13.49,6.72,5.46,"2016-2017","REG",82,0,2017
"Phoenix Suns",107.695,19.41,16,47.46,43.98,18.15,17.68,14.93,13.51,6.98,5.51,"2016-2017","REG",82,0,2017
"Portland Trailblazers",107.939,11.33,12.66,42.37,42.93,15.68,14.68,12.65,12.56,7.05,5.32,"2016-2017","REG",82,0,2017
"Sacramento Kings",102.805,10.71,14.74,43.02,40.73,17.41,16.26,11.02,12.49,6.28,5.51,"2016-2017","REG",82,0,2017
"San Antonio Spurs",105.329,12.1,12.63,39.56,40.78,14.7,17.26,12.95,12.38,6.85,5.11,"2016-2017","REG",82,0,2017
"Toronto Raptors",106.854,12.21,11.52,43.76,41.68,14.93,17.38,13.51,13.06,6.93,5.63,"2016-2017","REG",82,0,2017
"Utah Jazz",100.707,8.13,10.55,42.76,40.95,15.16,14.66,11.04,10.71,6.32,5,"2016-2017","REG",82,0,2017
"Washington Wizards",109.183,15.91,12.06,45.02,43.85,16.41,17.73,13.05,13.83,7.22,6.13,"2016-2017","REG",82,0,2017
"Atlanta Hawks",102.833,9.33,11.58,40.92,44.83,17.79,19.04,12.67,14.58,8.29,5,"2017-2018","REG",24,0,2018
"Brooklyn Nets",109.783,12.78,11.04,45.39,46.43,17.65,16.3,13.17,12.83,7.74,5.74,"2017-2018","REG",23,0,2018
"Boston Celtics",104.462,9.77,9.12,39.54,42.77,14.42,14,11.88,10.19,7.58,4.85,"2017-2018","REG",26,0,2018
"Charlotte Hornets",104.609,9.39,8.17,42.96,42.7,14.57,14.96,12.78,9.87,8.39,6.57,"2017-2018","REG",23,0,2018
"Chicago Bulls",95.652,8.74,10.96,37.48,42.17,17.22,13.22,10.3,10.3,7.65,4.43,"2017-2018","REG",23,0,2018
"Cleveland Cavaliers",111.08,9.04,9.52,43.68,45.28,17,17.6,11.92,12.48,7.2,5.36,"2017-2018","REG",25,0,2018
"Dallas Mavericks",100.28,8.88,14.2,37.6,39.12,15.4,13.88,10.2,11.12,5.4,3.92,"2017-2018","REG",25,0,2018
"Denver Nuggets",107.125,15.17,11.71,48.5,46.83,20.13,17.83,15.71,11,5.96,4.5,"2017-2018","REG",24,0,2018
"Detroit Pistons",104.292,10.75,8.96,44.17,42.5,14.96,18.08,13.67,11.21,6.29,5.13,"2017-2018","REG",24,0,2018
"Golden State Warriors",108.462,22.42,13.46,45.38,45.54,18.35,18.5,9.77,13.42,6.69,5.31,"2017-2018","REG",26,0,2018
"Houston Rockets",114.091,11.59,11.36,41.64,46.73,19.41,19.45,11.95,11.09,3.23,2.5,"2017-2018","REG",22,0,2018
"Indiana Pacers",108.44,15.04,11.48,42.64,49.2,15.2,19.16,12.48,13.12,6.16,4.64,"2017-2018","REG",25,0,2018
"Los Angeles Clippers",104.957,9.78,12,46,41.39,17.52,17.7,14.04,13.13,7.13,5.22,"2017-2018","REG",23,0,2018
"Los Angeles Lakers",105.783,15.3,11.7,54.52,49.39,19.91,15.91,13.39,13.39,7.26,5.83,"2017-2018","REG",23,0,2018
"Memphis Grizzlies",97.708,14.17,11.67,42.83,41.42,15,17.79,8.79,12.25,5.54,5.13,"2017-2018","REG",24,0,2018
"Miami Heat",100.208,7.38,9.71,40.58,44.67,18.42,16,9.88,12.63,5.67,5.04,"2017-2018","REG",24,0,2018
"Milwaukee Bucks",103.087,12.09,6.43,45.65,41.39,15,18.26,8.35,12.22,7.09,6.3,"2017-2018","REG",23,0,2018
"Minnesota Timberwolves",107.5,9.12,13.81,47.15,46.38,17.85,17.96,14.46,12,7.62,5.38,"2017-2018","REG",26,0,2018
"New Orleans Pelicans",100.8,12.12,13.44,51.04,43.68,18.24,16.88,12.64,12.64,7.04,5.2,"2017-2018","REG",25,0,2018
"New York Knicks",103.792,6.13,11.29,46,39.17,19.67,15.58,15.13,12.46,5.88,4.54,"2017-2018","REG",24,0,2018
"Oklahoma City Thunder",102,13.74,9.43,41.48,39.83,15.17,20.35,14.3,11.65,5.3,4.09,"2017-2018","REG",23,0,2018
"Orlando Magic",107.538,11.12,12.15,44.85,49.54,18.04,15.96,10.27,14.15,6.35,4.85,"2017-2018","REG",26,0,2018
"Philadelphia 76ers",108.174,8.61,9.87,46.7,41.74,17.83,15.09,15.22,13.26,5.91,5.65,"2017-2018","REG",23,0,2018
"Phoenix Suns",107.577,12.65,14.31,47.77,49,19.5,16.58,13.69,13.85,6.15,3.81,"2017-2018","REG",26,0,2018
"Portland Trailblazers",102.708,4.08,8.92,40.67,42.5,16.29,14.5,12.33,11.17,7.71,6.25,"2017-2018","REG",24,0,2018
"Sacramento Kings",95.542,9.04,10.63,41.92,42.83,14.92,15.5,10.96,12.38,6.33,4.5,"2017-2018","REG",24,0,2018
"San Antonio Spurs",101.28,9.32,10.76,41.28,42.48,16.24,16.6,13.96,10.2,6.48,4.28,"2017-2018","REG",25,0,2018
"Toronto Raptors",111.545,13.27,12.82,49.09,43.36,16.68,19.68,11.14,13.68,7.41,5.5,"2017-2018","REG",22,0,2018
"Utah Jazz",103.24,8.4,8.08,40.64,40.08,16.6,20.04,10.76,11.52,6.08,4.52,"2017-2018","REG",25,0,2018
"Washington Wizards",106.083,10.29,10.42,41.08,44.67,15.38,18.25,12.33,14.04,6.17,4.88,"2017-2018","REG",24,0,2018
