scena,postac,opis
95,jack,'Marla stara się uwieść Jacka, ale nic nie wychodzi'
95,marla,'Marla stara się uwieść Jacka, ale nic nie wychodzi'
96,jack,'Jack wychodzi od Marli mimo jej prośby. Spotyka członków klubu'
96,marla,'Jack wychodzi od Marli mimo jej prośby. Spotyka członków klubu'
96,other,'Jack wychodzi od Marli mimo jej prośby. Spotyka członków klubu'
121,jack,'Marla i Jack rozmawiają o zależności słabych osób od <br>silnych. Miga Tyler, podpowiada Jackowi jak spławić Marlę'
121,marla,'Marla i Jack rozmawiają o zależności słabych osób od <br>silnych. Miga Tyler, podpowiada Jackowi jak spławić Marlę'
121,tyler,'Marla i Jack rozmawiają o zależności słabych osób od <br>silnych. Miga Tyler, podpowiada Jackowi jak spławić Marlę'
133,jack,'Marla spotyka Jacka. Ten, w ferworze, odgania ją, mówiąc, że Tyler odszedł'
133,marla,'Marla spotyka Jacka. Ten, w ferworze, odgania ją, mówiąc, że Tyler odszedł'
148,jack,'Jack pyta się Marli, czy kiedykolwiek uprawia seks. <br>Ta, obrażona, kończy rozmowę, mówiąc do niego per Tyler.'
148,marla,'Jack pyta się Marli, czy kiedykolwiek uprawia seks. <br>Ta, obrażona, kończy rozmowę, mówiąc do niego per Tyler.'
148,tyler,'Jack pyta się Marli, czy kiedykolwiek uprawia seks. <br>Ta, obrażona, kończy rozmowę, mówiąc do niego per Tyler.'
160,jack,'Jack stara się zapobiec aktowi terroryzmu. Spotyka Marlę, ta nie chce z nim mówić'
160,marla,'Jack stara się zapobiec atakowi na Marlę. Spotyka Marlę, ta nie chce z nim mówić'
160,other,'Jack stara się zapobiec atakowi na Marlę. Spotyka Marlę, ta nie chce z nim mówić'
161,jack,'Jack przekonuję Marlę, by wyjechała i ukryła się. <br>Gdy Marla odjeżdża, dostrzega w autobusie niebezpieczeństwo'
161,marla,'Jack przekonuję Marlę, by wyjechała i ukryła się. <br>Gdy Marla odjeżdża, dostrzega w autobusie niebezpieczeństwo'
161,other,'Jack przekonuję Marlę, by wyjechała i ukryła się. <br>Gdy Marla odjeżdża, dostrzega w autobusie niebezpieczeństwo'
166,jack,'Jack próbuje powstrzymać Tylera przed aktem terroryzmu. Marla jest w rękach Tylera'
166,marla,'Jack próbuje powstrzymać Tylera przed aktem terroryzmu. Marla jest w rękach Tylera'
166,tyler,'Jack próbuje powstrzymać Tylera przed aktem terroryzmu. Marla jest w rękach Tylera'
173,jack,'Jack próbuje pozbyć się Tylera wiedząc, że to jego urojenie. <br>Udaje mu się, odzyskuje świadomość i widzi Marlę, zdrową'
173,marla,'Jack próbuje pozbyć się Tylera wiedząc, że to jego urojenie. <br>Udaje mu się, odzyskuje świadomość i widzi Marlę, zdrową'
173,tyler,'Jack próbuje pozbyć się Tylera wiedząc, że to jego urojenie. <br>Udaje mu się, odzyskuje świadomość i widzi Marlę, zdrową'
